prices,market_caps,total_volumes
29172.429673050512,567246612365.727,9386508536.95909
29171.163634101267,567246612365.727,9900274318.046621
29164.874555887538,566965019020.4482,10137264895.5564
29167.362275329135,566965019020.4482,6853010845.63575
29175.04654250799,566965019020.4482,9440688045.449953
29167.633829606002,567113199257.8241,9751215532.45524
29171.695904768298,567132493581.2178,10155568854.17469
29170.829698788257,567132493581.2178,9258544153.016054
29139.111577428375,566572936086.9877,8159973067.664705
29144.25689537892,566572936086.9877,10188627244.376656
29128.59615844977,566295213178.8076,10111647720.62531
29132.232738421677,566295213178.8076,9813659689.1307
29126.58933662566,566262524794.7831,9850413199.87555
29129.84867642437,566262524794.7831,8336066225.861256
29143.192443643788,566570732801.661,10125801160.642817
29155.93775503208,566570732801.661,10165074358.13365
29172.662701401663,567119676495.4125,8464862730.129274
29171.05169704041,567119676495.4125,8774127818.487507
29174.41784772708,567119676495.4125,9356917826.703548
29169.341193674107,567186371610.3358,9250156428.342272
29168.20417322557,567065620177.6173,9420940906.25598
29155.778583996154,567065620177.6173,10391976124.554947
29158.76207558714,566883775591.6868,10214817173.804764
29159.012247995342,566883775591.6868,8210910311.965137
29119.997577525286,566943720892.2316,9584305375.482792
29128.258613564976,566943720892.2316,10496658851.474262
29119.269462140524,566155659591.4244,10173389325.439898
29128.322954533694,566155659591.4244,10280820910.587986
29137.310138023826,566236120361.0685,10190108375.892246
29142.89715524412,566236120361.0685,10330580625.109297
29139.83162304369,566516004554.2579,7979492419.457623
29142.208610892365,566516004554.2579,8162471267.713557
29151.479549081338,566543846472.9839,9244549483.112314
29202.314532690547,566543846472.9839,10542878804.040771
29213.274067871494,567955134469.9432,10555414719.54968
29209.27224053978,567955134469.9432,7171230906.883159
29211.253370406605,567955134469.9432,7264033371.587429
29211.798174040043,567876967893.6813,7342001366.497323
29218.941191916354,567876967893.6813,10097687216.895775
29216.4857278463,567876967893.6813,4318996801.590121
29212.951385504508,567968434873.8916,7537093238.384118
29212.591367618315,567931482870.0623,7726799295.195511
29217.477704837343,567951097811.1481,4035274206.0311775
29193.301043616382,567951097811.1481,10204012994.950617
29206.62520163254,567951097811.1481,9776603716.37582
29211.71250861465,567818298799.8473,10291181946.218641
29212.0966881263,567818298799.8473,10197912114.809362
29210.143783193886,567914716915.4573,6568388029.569311
29210.13047436974,567884895880.2367,7237537516.240296
29211.360311829012,567884895880.2367,6730196485.791673
29206.770889897045,567865432235.6741,10256908552.569054
29191.879962929124,567865432235.6741,10465586394.94286
29195.426692603447,567865432235.6741,9282607240.579174
29191.335282729582,567599684266.0095,9337122596.707512
29199.7895390673,567617824799.6069,8149286267.31305
29220.441412754233,567617824799.6069,10548022155.91958
29225.57123653323,568276557566.8616,10403339797.123787
29222.654794248145,568276557566.8616,10435900966.247517
29224.22600336161,568276557566.8616,9517839376.611017
29221.837118923904,568206611116.0118,7376657420.055046
29258.823060348517,568920451376.6573,10516663956.474638
29263.20021901343,568920451376.6573,8227679851.291967
29258.433528134086,568852461643.4669,7182050635.247518
29257.973451332284,568852461643.4669,7179584787.74018
29270.914298927466,568852461643.4669,10157084506.670624
29276.131912706926,569074975247.1083,10073463212.37831
29273.407222622955,569121428142.5269,4548966584.856435
29268.180254552142,569121428142.5269,9031771401.508379
29275.575379326678,569159810611.8629,9698637891.046085
29297.257718180525,569159810611.8629,10260034154.2119
29302.58488156929,569693747805.9231,10026324526.86005
29298.629532476367,569693747805.9231,9876027471.978214
29294.339970580128,569548790251.3314,7808727623.08254
29294.717614959183,569548790251.3314,7424138872.039094
29289.9116262115,569425863511.3248,7362692607.08441
29268.074858455235,569425863511.3248,10656523191.439869
29280.398300731642,569425863511.3248,10405309126.531662
29289.00747885564,569253816884.9434,8993682438.179396
29265.696906459223,569253816884.9434,10675473083.98809
29272.16170244128,568970238247.9001,8765819808.958023
29280.00073474043,569106653730.3822,9482456286.41037
29279.67093994178,569106653730.3822,10460395949.880566
29286.271181422144,569106653730.3822,10261362447.560553
29297.401440231286,569397150731.9247,10364556343.340134
29301.491198492724,569626473651.2196,7349737126.032029
29318.054230847214,569626473651.2196,9912313484.081661
29322.681968613753,570069528646.1504,9591018982.04537
29325.38630510044,570069528646.1504,9569932359.88021
29400.994110581414,571495587614.865,8943511954.662567
29429.899959787366,571495587614.865,10927965550.070904
29428.174205996573,572026729991.2084,8905607743.62156
29440.21785759239,572026729991.2084,10501183190.480007
29429.574187318893,572140586339.3706,10086774798.747316
29437.329605975596,572140586339.3706,10456741225.062788
29448.938858493606,572140586339.3706,9568833784.71907
29452.775699226353,572699350382.6201,10017494152.447342
29463.412646423523,572699350382.6201,10877100498.777275
29496.8866184505,572699350382.6201,10991612616.712723
29491.02866273937,573464812577.4103,9625782966.09817
29507.29362722352,573464812577.4103,11008484076.445995
29484.58882313096,573464812577.4103,10652038134.496862
29451.188104791523,573289587080.251,7975160309.085511
29378.45125466406,573289587080.251,11108884654.06511
29381.75954037932,571166199132.4377,7762204919.741419
29383.684529015594,571166199132.4377,8875229003.670214
29387.54866090718,571257359909.8511,10044226278.691458
29385.655791352034,571257359909.8511,10323626430.592426
29359.08585864039,571070107790.1676,11115657618.439144
29353.529828569022,570538045892.914,11139049705.25311
29342.57815880995,570538045892.914,9724042617.308784
29363.85569925304,570816576438.7777,8526443161.844913
29357.22458959859,570816576438.7777,8155466160.998369
29361.094857600114,570780924525.8895,8871946214.455702
29359.92945462689,570780924525.8895,8362889028.208345
29359.994239569623,570860274934.135,8348723909.130725
29360.596850491875,570860274934.135,7497736154.410166
29379.949114975287,571265756653.111,11024123938.788687
29374.800526401574,571265756653.111,9775208545.677656
29365.464516854252,570960866405.9226,11102439683.51153
29375.40274912232,570960866405.9226,10243154761.262392
29308.27299528809,569809998928.5171,11133351754.444885
29318.144153259334,569809998928.5171,11237751129.067303
29313.166974796448,569688260029.5288,10608190929.54103
29299.329705931246,569688260029.5288,8287805958.704878
29299.070491227318,569617914089.1189,7955266976.680156
29295.885502370867,569617914089.1189,7455166991.61933
29284.158850737887,569368035399.5964,10572273929.054087
29276.680187008224,569368035399.5964,8425205553.632598
29227.774865652867,568252224070.0262,11091311678.045593
29238.808148850007,568252224070.0262,11229318729.735992
29237.366870488135,568422273531.8562,9445666312.03599
29238.653078086747,568422273531.8562,9574472399.50204
29242.19424382744,568443567649.4279,10183201413.455383
29242.15126566114,568443567649.4279,9562462110.916391
29251.026771066903,568711758858.7385,10898442747.030651
29251.056660869242,568711758858.7385,8885216004.657993
29272.020305302205,568711758858.7385,11357657290.244791
29273.5899709407,568711758858.7385,11324346117.127218
