DateTime,BTC,ETH,USDT,BNB,XRP,기타,Dominance
2017-01-08 00:00:00,14337159443.960571,881241626.1178479,14951722.72527052,0.0,227195498.2465631,1258051900.949747,0.8575574078756325
2017-01-15 00:00:00,13294395553.207396,830063132.9533404,14951692.03089727,0.0,246963477.1163562,1231126304.6920085,0.8512499066436633
2017-01-22 00:00:00,14893985097.195436,967302786.6586044,14951686.68379886,0.0,247720904.7723309,1354339172.6898322,0.852141535340923
2017-01-29 00:00:00,14871734978.069092,928665196.9005234,14951690.64263715,0.0,234685991.98602,1405862814.4017274,0.8519603346462655
2017-02-05 00:00:00,16563964996.347046,1017165757.8608358,24951570.00877009,0.0,238429955.55288452,1541788136.2304635,0.854415986594141
2017-02-12 00:00:00,16243972024.731443,1001438877.7612544,24950978.15365696,0.0,234234482.0209897,1479503477.3326538,0.8556619571977265
2017-02-19 00:00:00,17051927157.39038,1137252647.8520298,24951186.36099243,0.0,212414184.6495541,1516354535.747043,0.8550375022509856
2017-02-26 00:00:00,18664111842.51526,1212478295.5990577,24951653.34030199,0.0,210571775.78021103,1492086880.7651703,0.8639112513068301
2017-03-05 00:00:00,20353007665.95459,1739335706.0678704,24951155.05707732,0.0,238638801.1942639,1742966639.726199,0.8445616892464205
2017-03-12 00:00:00,19163828258.91577,1790708328.572374,34950490.03306126,0.0,230231912.30461484,1870581938.1741784,0.8299514293327
2017-03-19 00:00:00,16505336991.286377,3430198625.2907143,44951291.24483123,0.0,240094583.07320005,2551419277.104877,0.72480838023158
2017-03-26 00:00:00,15410394175.921326,4472089815.348644,44950401.72380642,0.0,349814651.3339651,2650350571.67226,0.67213290680317
2017-04-02 00:00:00,17404186475.3479,4553592806.874194,54937877.59335667,0.0,796839599.8827535,3096842472.3017955,0.6718103245259174
2017-04-09 00:00:00,19246212194.827023,4035924064.309385,54941238.07879693,0.0,1361551467.1775308,3340270747.6072607,0.6864111071587482
2017-04-16 00:00:00,19312880066.809937,4311142760.098467,50740990.74058226,0.0,1270093556.8602302,3786542817.490784,0.6721872215676923
2017-04-23 00:00:00,19796342607.852417,4424301497.874928,52484979.88552905,0.0,1210033303.330958,4155438315.056168,0.667924333053305
2017-04-30 00:00:00,21522181601.86768,6344976052.138996,59047689.15101703,0.0,1911479777.221388,5330116223.620923,0.6119854178924833
2017-05-07 00:00:00,25473132058.59375,8546934114.245556,60292872.11974072,0.0,3689197417.640322,7253343761.400631,0.5657816784760346
2017-05-14 00:00:00,28556899835.158813,8096577897.380394,60415446.76500773,0.0,7707640453.260676,8285667391.435108,0.5418026243160883
2017-05-21 00:00:00,32708122710.229004,11718154272.268602,61945289.11123691,0.0,13524863398.907978,11528417305.483175,0.47033960024587274
2017-05-28 00:00:00,32571246894.14978,13777187335.44942,103899991.31223053,0.0,7857049186.610734,10999415568.477837,0.4987267780888027
2017-06-04 00:00:00,41324845033.38867,20441045254.133846,108314994.77995948,0.0,11404506509.864573,17038186511.83295,0.457553855473339
2017-06-11 00:00:00,45412204997.72339,27336752821.337723,128283845.91179948,0.0,10537661400.859684,21441099494.167404,0.43309113344977956
2017-06-18 00:00:00,42486852470.2207,34638738512.99655,127046889.89282688,0.0,10171776512.257156,22835588430.632767,0.3853333156640857
2017-06-25 00:00:00,43855372882.69043,30898087675.48835,148253521.5249449,0.0,11855912735.562908,24533371968.733364,0.3940603765072454
2017-07-02 00:00:00,40593725852.13135,25785895948.80215,219788293.48997712,0.0,9856865328.956692,20992225824.61983,0.41656593310576423
2017-07-09 00:00:00,41764943932.13965,23378955555.53154,220941040.0265489,0.0,9008303312.946688,20801053407.355576,0.4388263325543027
2017-07-16 00:00:00,33174285773.07129,16670687288.036726,291330036.9132059,0.0,6549141518.044606,14822654455.934172,0.4639234744538349
2017-07-23 00:00:00,45531773031.30664,20842134620.90185,316483281.6416652,0.0,7095731659.646341,21014175390.503494,0.4802914547693859
2017-07-30 00:00:00,44593208474.87793,17052870602.59967,319708827.9211784,10757157.20653534,6102603388.379897,18245648989.01479,0.5165747247292692
2017-08-06 00:00:00,52918135649.20044,22734243698.88556,319094136.5295952,12739120.42379379,7138039826.099408,27317745008.86121,0.47915734222965617
2017-08-13 00:00:00,62520268602.49829,29609135198.648323,319619577.9951273,45268276.3338089,6803285818.929309,34171426301.59514,0.46842537843037757
2017-08-20 00:00:00,67235974517.90259,27264776783.48561,319014769.01008326,208400011.06262207,5889025884.168709,43628813026.370384,0.46515276933197713
2017-08-27 00:00:00,71034649638.13477,31341155141.39287,319683288.35416496,229106831.5505981,8198060737.077212,43835348587.49039,0.4584122646252621
2017-09-03 00:00:00,75021311766.98145,31970717221.54715,335613581.50876737,0.0,8551389994.2929535,45838665995.669685,0.4639029149870524
2017-09-10 00:00:00,69254321715.82031,27603652518.602783,405016056.95425296,97955441.47491457,7987342589.455419,40875241661.69232,0.47361954483931706
2017-09-17 00:00:00,58999786655.45654,22921879293.78251,444699343.3629872,0.0,6717004631.029442,32097830460.368523,0.48687243952442727
2017-09-24 00:00:00,62643562809.88037,26527995537.225567,444738692.8954678,77109313.01116943,6786678930.846805,34068708060.140617,0.4798478883279503
2017-10-01 00:00:00,71735578541.53955,28557656972.69866,435942238.6506647,129174959.65957642,7604886717.49517,38761762553.956375,0.4872513335020065
2017-10-08 00:00:00,71953336909.70508,29379871536.07377,435044998.0211604,152635037.89901733,9049722268.012953,36523072450.288025,0.48784012541158833
2017-10-15 00:00:00,95432498041.812,32590668092.609127,438107781.26597625,147899878.02505493,9988904722.333103,36892436427.95473,0.543804308012117
