Date,Price,Open,High,Low,Vol.,Change %
2018-01-02,"24,824.01","24,809.35","24,864.19","24,741.70",341.13M,0.42%
2018-01-03,"24,922.68","24,850.45","24,941.92","24,825.55",456.79M,0.40%
2018-01-04,"25,075.13","24,964.86","25,105.96","24,963.27",403.28M,0.61%
2018-01-05,"25,295.87","25,114.92","25,299.79","25,112.01",358.02M,0.88%
2018-01-08,"25,283.00","25,308.40","25,311.99","25,235.41",341.39M,-0.05%
2018-01-09,"25,385.80","25,312.05","25,439.78","25,308.41",333.49M,0.41%
2018-01-10,"25,369.13","25,348.13","25,404.92","25,256.99",341.47M,-0.07%
2018-01-11,"25,574.73","25,398.60","25,575.42","25,396.19",346.83M,0.81%
2018-01-12,"25,803.19","25,638.39","25,810.43","25,633.08",376.39M,0.89%
2018-01-16,"25,792.86","25,987.62","26,086.12","25,702.99",606.52M,-0.04%
2018-01-17,"26,115.65","25,910.78","26,130.45","25,865.02",522.72M,1.25%
2018-01-18,"26,017.81","26,149.55","26,153.42","25,947.32",492.78M,-0.37%
2018-01-19,"26,071.72","25,987.35","26,071.72","25,942.83",585.00M,0.21%
2018-01-22,"26,214.60","26,025.32","26,215.23","25,974.65",431.20M,0.55%
2018-01-23,"26,210.81","26,214.87","26,246.19","26,143.90",433.49M,-0.01%
2018-01-24,"26,252.12","26,282.07","26,392.80","26,106.94",518.79M,0.16%
2018-01-25,"26,392.79","26,313.06","26,458.25","26,259.72",401.39M,0.54%
2018-01-26,"26,616.71","26,466.74","26,616.71","26,425.35",477.78M,0.85%
2018-01-29,"26,439.48","26,584.28","26,608.90","26,435.34",421.00M,-0.67%
2018-01-30,"26,076.89","26,198.45","26,256.99","26,028.42",448.33M,-1.37%
2018-01-31,"26,149.39","26,268.17","26,338.03","26,050.98",479.13M,0.28%
2018-02-01,"26,186.71","26,083.04","26,306.70","26,014.44",410.62M,0.14%
2018-02-02,"25,520.96","26,061.79","26,061.79","25,490.66",522.88M,-2.54%
2018-02-05,"24,345.75","25,337.87","25,520.53","23,923.88",714.45M,-4.60%
2018-02-06,"24,912.77","24,085.17","24,946.23","23,778.74",823.94M,2.33%
2018-02-07,"24,893.35","24,892.87","25,293.96","24,785.44",504.62M,-0.08%
2018-02-08,"23,860.46","24,902.30","24,903.68","23,849.23",657.50M,-4.15%
2018-02-09,"24,190.90","23,992.67","24,382.14","23,360.29",735.03M,1.38%
2018-02-12,"24,601.27","24,337.76","24,765.16","24,290.48",496.61M,1.70%
2018-02-13,"24,640.45","24,540.33","24,705.72","24,421.03",374.41M,0.16%
2018-02-14,"24,893.49","24,535.82","24,925.95","24,490.36",431.16M,1.03%
2018-02-15,"25,200.37","25,047.82","25,203.95","24,809.42",416.78M,1.23%
