Open_time,Open,High,Low,Close,Volume,quote_av,trades,tb_base_av,tb_quote_av,VIX,Bitcoin_TransactionFee,volatility,GoogleTrend,DowJones,EuroStoxx50,Nasdaq,OilWTI,SPX,TradePermin,Dominance,Gold
2018-01-03,2.562174879917461,-0.347340231657276,2.4520052097776106,0.4154624596809237,-0.7377355239816978,-0.7152503740140116,-0.6663083734911098,-0.7125614051725903,-0.6974465355201517,-1.4599642063665448,3.0,3.0000000000000004,1.1438770730569556,0.2834711172650058,0.4263107542316129,0.4972111177756854,0.20357447675880588,0.4565088167550001,1.1358375350553944,-1.2922102155977095,0.21134444727391613
2018-01-04,0.38575595151650294,-0.07973761467232346,-0.4450241504335719,0.22256155100114303,-0.6754731082194325,-0.6792043552166893,-0.6626884329832113,-0.6275106987265177,-0.6477294855379438,-1.4513103133428769,3.0,3.0000000000000004,1.09126366577133,0.43992775108939663,1.2891964297310499,0.08406654422521365,0.08506695346659454,0.28222581084408654,1.3563664094363486,-1.2922102155977095,-0.06560621613387695
2018-01-05,0.22044307644525737,3.0,1.2146735587436703,3.0,-0.6534121022810787,-0.6526203481613785,-0.6517853049799586,-0.6121472382738626,-0.6233930490928228,-1.4513103133428769,3.0,3.0000000000000004,0.9860368512000788,0.6361233409198765,0.8293315555268537,0.4921448168434163,-0.038698323694138184,0.503200378911354,1.4802092854728663,-1.2922102155977095,0.19387577774356649
2018-01-06,3.0,-0.08355369126933444,2.424332972211583,0.14465720057398118,-0.7071346630003066,-0.6808803792122035,-0.6684953507087622,-0.6661299204585585,-0.6502840046436664,-1.4142222003843001,3.0,2.551993643976633,0.828196629343202,-0.04399741637220846,0.17932354764845307,0.1569243904887268,0.07341581845712422,0.10822360196375504,0.6703600642581165,-1.2922102155977095,0.19387577774356649
2018-01-07,0.14259886612375536,-0.10126415220506352,-0.6649544099601978,-1.456561767592977,-0.7769084261778495,-0.7293190991917384,-0.6867673168002718,-0.7636868381109856,-0.7177350202280088,-1.4142222003843001,3.0,2.5701029415955383,0.6703564074863255,-0.04399741637220846,0.17932354764845307,0.1569243904887268,0.07341581845712422,0.10822360196375504,0.7003614370444278,-1.5126139251371642,0.19387577774356649
2018-01-08,-1.3497848071437322,-1.3896039556156798,-3.0,-2.0765720824484193,-0.6149672422405543,-0.6398089344584362,-0.644243722156578,-0.6026814189301906,-0.628863891305158,-1.4142222003843001,3.0,2.5705532558674578,0.9860368512000788,-0.04399741637220846,0.17932354764845307,0.1569243904887268,0.07341581845712422,0.10822360196375504,1.6464109870399672,-1.5126139251371642,0.2061584119270421
2018-01-09,-2.179690319744444,-1.5366034663794013,2.3464086585335204,-0.9215037435924104,-0.755994903578423,-0.7272336360986728,-0.6692585071151861,-0.7622582091151483,-0.7285744425882594,-1.344991056194957,3.0,2.588440295448035,0.828196629343202,0.2901315872703882,0.12758850571936314,0.028650316738459046,0.19595242567562748,0.08179468885838764,1.0814432750930927,-1.5126139251371642,-0.7899019030290612
2018-01-10,-0.9204740266705089,-1.0789506440389807,-1.622605453074686,0.908056100982599,-0.7204556485159488,-0.7115385590418443,-0.6669392045433303,-0.7233004215929817,-0.7107132530899308,-1.3771340874257234,3.0,2.3944774594405214,0.9334234439144532,-0.054798776565816804,-0.28766738718404933,-0.1126298010142592,0.11345678998347752,-0.09579367589925726,1.4523547014369174,-1.5126139251371642,0.7148479295513518
2018-01-11,0.963730670625688,0.00036520051718908836,-3.0,-2.99670949576348,-0.535140293646202,-0.616291789052994,-0.6294357932465598,-0.5411828528861744,-0.6168318673912123,-1.3697164648340079,3.0,2.5915843237925276,1.196490480342581,0.5850841417813001,-0.3218473903977193,0.4828300543557597,0.0645351412651267,0.503187019415082,1.8875624508540878,-1.5126139251371642,0.24806054595150914
2018-01-12,-3.0,-1.7465593096226282,2.4200945622861423,0.9782846644838817,-0.7318640289294955,-0.7216451594569446,-0.6799426968051205,-0.7328128637929886,-0.7197331332836316,-1.3351008927393364,3.0,2.6154681002179445,0.7229698147719511,0.645610332515825,0.3637170401416168,0.40139574986277354,0.09853441581787793,0.48230458454426134,0.9772435161223885,-1.5126139251371642,0.2854013847172207
2018-01-13,0.9951464397647871,0.9736955851866155,2.4201141546768445,0.881286948564766,-0.7800263444623563,-0.7448858359205295,-0.6851457297323976,-0.7914953289584744,-0.7491509388058054,-1.1496603279464528,3.0,2.6299311853728393,0.4072893710581976,-0.03607717212817718,-0.02668001833982254,-0.3467835772896448,0.03287153892413846,-0.2731723881996155,0.7147180868124745,-1.5126139251371642,0.2854013847172207
2018-01-14,0.8585060960842261,-0.5204329817423408,-2.134358536498087,-1.3993024589047744,-0.7249681657152901,-0.7197601105409692,-0.6713237450069712,-0.7288654274058786,-0.719409882542517,-1.1496603279464528,3.0,2.5676536088700233,0.3020625564869466,-0.03607717212817718,-0.02668001833982254,-0.3467835772896448,0.03287153892413846,-0.2731723881996155,0.8498852735071531,-1.7882767386958718,0.2854013847172207
2018-01-15,-1.3938871395865362,-0.2129462733767868,1.1393955509921596,0.10137006078750525,-0.7521254095197349,-0.7319427606327027,-0.6746929891165425,-0.7486479620418389,-0.7275809027277965,-1.1496603279464528,3.0,2.41350687191412,0.35467596377257216,-0.03607717212817718,-0.02668001833982254,-0.3467835772896448,0.09179434091929625,-0.2731723881996155,0.7877089043247886,-1.7882767386958718,1.0178348668623611
2018-01-16,0.01492544940317239,-1.5137916609194262,-3.0,-3.0,-0.1925300459933675,-0.4867281764690289,-0.5433872619151822,-0.21971810484838022,-0.4956709063437303,-1.1496603279464528,3.0,2.953111423671874,2.03830499691259,-0.03607717212817718,0.20862556887198386,-0.3467835772896448,-0.08911961589921567,-0.2731723881996155,2.9999999999999996,-1.7882767386958718,-0.48252338252719235
