Open_time,Close,Volume,trades,VIX,Bitcoin_TransactionFee,volatility,GoogleTrend,DowJones,EuroStoxx50,Nasdaq,OilWTI,SPX,TradePermin,Dominance,Gold,MCHI,Weekly_return,Monthly_return,Daily_return,Volatility,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower
2018-02-01,9224.52,33564.764311,316020,13.47,214.02754492,1.3044021972568842,50,26186.71,3577.35,7385.86,65.8,2821.98,123.03402777777778,0.3441824308804427,1341.35,73.110001,-0.1745595408433085,-0.37141731816660994,-0.1031181028867002,0.0682755314723492,10878.252,10778.00129307338,30.766722412325972,-980.6367633459959,-882.6519387463782,13889.562049210233,9052.75495078977
2018-02-02,8873.03,49971.626975,453411,17.31,274.36258243,1.3027074295781715,66,25520.96,3523.28,7240.95,65.45,2762.13,181.9993055555556,0.3441824308804427,1331.15,71.709999,-0.19983497159347097,-0.40527336353539756,-0.03810387965986306,0.06818682327772212,10685.636999999999,10431.642876150945,29.325946698301394,-1072.903151778075,-920.7021813527175,13526.109039483692,8882.51096051631
2018-02-03,9199.96,28725.000735,327519,37.32,146.92776937,1.3126188578459932,41,24345.75,3478.77,6967.53,64.15,2648.94,103.4125,0.3441824308804427,1331.15,71.709999,-0.19937690366373695,-0.3890942220014689,0.03684536173099806,0.06870561114396358,10470.634000000002,10207.70053503259,32.49254772553317,-1106.8849301590144,-957.9387311139769,13217.366618732665,8763.750381267337
2018-02-04,8184.81,32014.308449,356134,37.32,111.31669812,1.2527053092685998,38,24345.75,3478.77,6967.53,64.15,2648.94,119.98402777777778,0.3450013248578302,1331.15,71.709999,-0.3110400296297543,-0.5174161679065162,-0.11034287105596097,0.06556959268269573,10171.588,9839.902255935755,28.258611642846223,-1201.8753841023808,-1006.7260617116578,12946.72825975932,8498.87674024068
2018-02-05,6939.99,63403.182579,533510,37.32,173.7675019,1.3275096009162992,63,24345.75,3478.77,6967.53,64.15,2648.94,192.48819444444445,0.3450013248578302,1333.6,69.580002,-0.38316682961514537,-0.5934343656248847,-0.15208905276970397,0.06948502825877785,9756.687000000002,9312.645482129254,24.109869741106195,-1361.9033991964461,-1077.7615292086157,13315.272813869384,7734.331186130616
2018-02-06,7652.14,100201.500307,785996,29.98,164.26998571,1.3981226349234908,79,24912.77,3394.92,7115.88,63.39,2695.14,260.4902777777778,0.3450013248578302,1331.4,71.019997,-0.2525389474589036,-0.5261841618870058,0.10261542163605442,0.0731810833833819,9372.801000000001,9010.73539446939,30.404847396066756,-1414.9515204331456,-1145.1995274535218,13417.628766048225,7298.310233951777
2018-02-07,7599.0,60778.460497,514893,27.73,123.52109098,1.3845233110700292,51,24893.35,3454.52,7051.98,61.79,2681.66,160.15416666666667,0.3450013248578302,1324.65,68.290001,-0.2611642084180028,-0.49008692477926585,-0.006944462594777434,0.07246926223978654,8944.706000000002,8754.056231838591,30.203520767800747,-1444.627723448415,-1205.0851666525004,13471.310172612757,6908.331827387244
2018-02-08,7784.02,1521.537318,12417,33.46,87.98500449,1.3918328556185082,44,23860.46,3377.3,6777.16,61.15,2581.0,119.26527777777778,0.3450013248578302,1315.45,65.389999,-0.15615988691010485,-0.45944305555555554,0.02434794051848943,0.07285186128777785,8598.008,8577.686007867938,31.894439645399974,-1436.6558856575484,-1251.3993104535102,13395.782934092977,6614.763065907022
2018-02-09,8683.92,20482.910825,273091,29.06,88.36425123,1.4569559401655825,35,24190.9,3325.99,6874.49,59.2,2619.55,106.95625,0.3450013248578302,1314.1,65.830002,-0.021312899877493963,-0.4174637705950658,0.11560864437655605,0.07626055932425821,8442.649,8597.001279164677,39.5636044460385,-1342.2511023666138,-1269.569668836131,12968.15519787391,6630.78880212609
2018-02-10,8533.98,49381.512653,537578,25.61,88.79565618,1.4144359287677088,34,24601.27,3368.25,6981.96,59.29,2656.0,116.89375,0.3450013248578302,1314.1,65.830002,-0.0723894451715007,-0.3553801785360887,-0.01726639582124212,0.07403496020881264,8267.537,8585.542864771098,38.780027675787586,-1264.9519575960348,-1268.6461265881119,12756.558553792633,6542.783446207364
