Time,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,kraken
2021-09-24 00:00:00 UTC,,158.359276939095,155.480500916778,147.600031236844,153.454876100971,173.955756416206,155.056331941429,157.065894368466
2021-09-25 00:00:00 UTC,,103.288584772791,98.9135019296299,85.2533315661767,97.773791262004,95.5237966199326,98.4293521166868,101.588049195908
2021-09-26 00:00:00 UTC,,133.194941752054,130.980016626871,119.525752256227,127.269879042477,129.189939232437,128.146982950198,130.155680156038
2021-09-27 00:00:00 UTC,,122.279841707348,114.852647207935,100.613574996636,117.400909379429,115.744785872406,117.844663472314,117.683682653185
2021-09-28 00:00:00 UTC,,113.627651259673,113.424811637188,99.1575400118618,109.830860762,107.826707881347,111.970911646947,109.421642536647
2021-09-29 00:00:00 UTC,,102.906061951196,100.018231189552,85.9882844565249,98.9633101427767,85.9868380099524,101.073982403821,98.9759733094346
2021-09-30 00:00:00 UTC,,125.666419301405,123.675264808876,114.061954412331,126.189585577114,128.396998971305,127.508836191622,125.15566990029
2021-10-01 00:00:00 UTC,,134.549957769367,135.755498573952,125.115468999121,138.930008599874,132.786366002121,134.647715692915,136.866194070675
2021-10-02 00:00:00 UTC,,76.8584443469603,76.3689642672918,63.7212182726876,75.1831041053889,71.0519713187998,76.2369059436957,73.7455492873669
2021-10-03 00:00:00 UTC,,91.5539883773328,91.1472130364121,75.8727172328392,89.4041494679601,90.6303814192727,90.2052718422088,88.4073818227824
2021-10-04 00:00:00 UTC,,134.836076548635,129.460894612445,111.049258509004,127.55897206613,127.139873904623,127.963981431339,129.401950112845
2021-10-05 00:00:00 UTC,,114.813092555492,112.910786581389,99.1707450120626,111.898364697068,107.421369710617,114.436147705555,111.648912920122
2021-10-06 00:00:00 UTC,,157.084433197642,155.228130382187,142.435145358124,150.978727942045,146.793821527436,152.635166364013,154.452681992114
2021-10-07 00:00:00 UTC,,149.113862430037,143.735028254467,132.195612004745,139.547907937731,134.343288701974,143.118426127381,144.598589022556
2021-10-08 00:00:00 UTC,,142.868612009533,136.061288896371,128.431361977429,132.475835811012,123.395332080627,137.986132002879,134.986626138195
2021-10-09 00:00:00 UTC,,102.869722516146,90.0978317320975,78.1487137417103,92.5990278732836,83.4925733825019,97.3032412804237,95.5156244146157
2021-10-10 00:00:00 UTC,,145.828355787636,174.776515159479,115.83997164236,129.768214952076,120.887445371511,134.592715084794,136.647392703499
2021-10-11 00:00:00 UTC,,125.710372489236,123.557370748923,106.845048495357,119.949745879477,115.319141327763,119.813709422014,118.843553617386
2021-10-12 00:00:00 UTC,,160.147496594928,149.215009198734,136.19094527464,148.363904668314,155.224737041605,155.919326477302,158.085850109656
2021-10-13 00:00:00 UTC,,163.81298465528,162.522114061491,141.349761853581,160.554030079339,157.845175350183,162.312048364068,161.967094274406
2021-10-14 00:00:00 UTC,,129.559686169487,126.888526089032,113.399653856447,123.708297228592,118.303566447357,129.470654204844,130.722048794202
2021-10-15 00:00:00 UTC,,187.784172698967,182.405084992488,168.401680706999,181.169977727565,162.938830403308,181.282091628478,175.673421821866
2021-10-16 00:00:00 UTC,,132.427731984959,121.780246560401,111.5080234523,124.515075121602,122.334539058989,123.890623709247,123.432881909225
2021-10-17 00:00:00 UTC,,129.780300622887,123.386998993204,103.551000894021,119.285425852838,114.510297892973,123.098265348092,122.183217276266
2021-10-18 00:00:00 UTC,,184.862231760408,176.698941164515,151.371215135331,170.928449628116,166.09952330829,172.527079392789,174.059814916461
2021-10-19 00:00:00 UTC,,142.888785583542,132.89201950526,120.728874621302,134.696386742185,132.843313455118,137.072534499537,134.138503465015
2021-10-20 00:00:00 UTC,,134.428901502542,127.693073459251,117.184298348415,133.445041952457,125.335789076162,128.909009973332,128.438455770316
2021-10-21 00:00:00 UTC,,231.947143115801,226.131274779626,206.883661638375,217.695799569439,219.836198206594,241.31479104702,344.292397150851
2021-10-22 00:00:00 UTC,,175.772184219316,168.257455744213,156.753000531582,170.211313344853,164.310193305737,167.769776716478,168.809660406074
2021-10-23 00:00:00 UTC,,141.969671727328,131.118841687474,112.128086848811,129.46098683889,127.976428315522,132.911727651237,129.511730424202
2021-10-24 00:00:00 UTC,,123.247192629618,118.502348848144,95.1133533212014,114.270934726299,112.795610359934,116.996883116296,117.50018254781
2021-10-25 00:00:00 UTC,,118.24708889267,116.473145163374,88.3252808522269,111.625038778922,110.003364260208,114.656961881338,114.28976605543
2021-10-26 00:00:00 UTC,,131.938955020615,128.680597666963,106.512214229332,127.553969565752,123.087308996519,127.327433808104,125.592754533768
2021-10-27 00:00:00 UTC,,167.35422296165,155.681377638203,139.239114493442,153.993398202729,148.942823478096,160.484131167057,156.667768169496
2021-10-28 00:00:00 UTC,,200.798686666975,196.165675126943,169.005627390063,183.794247197622,195.186715750543,195.260660774355,192.592718081552
2021-10-29 00:00:00 UTC,0.550757008553412,150.772901115028,138.37609013049,119.440672836066,136.338536444447,144.438060035504,140.592656452722,137.5495160739
2021-10-30 00:00:00 UTC,,112.69955001071,103.172365328108,86.3708033975298,100.47008783183,99.171806309431,106.968371637711,103.868043969186
2021-10-31 00:00:00 UTC,,115.471444586811,115.978081341775,90.6844670485953,110.037334224578,104.86700892162,112.204906411036,110.046635545159
2021-11-01 00:00:00 UTC,,170.029100480899,152.010480919934,137.909580942595,149.922563955433,152.768806201864,159.690855202536,159.960896515279
2021-11-02 00:00:00 UTC,,143.357438633134,141.289160306553,123.181305689421,141.803884092717,137.720068478819,141.79553431641,138.552528259711
